INSTANCE;TIME
1;4.758952856063843
2;3.7795703411102295
3;4.590214252471924
4;3.820770263671875
5;5.8837785720825195
6;3.795478582382202
7;5.173996686935425
8;3.7841734886169434
9;4.754971742630005
10;3.793835163116455
11;5.3793275356292725
12;3.7416043281555176
13;4.713717937469482
14;3.8673276901245117
15;4.618135690689087
16;NO
17;5.203921318054199
18;3.949553966522217
19;5.389664649963379
20;4.043966054916382
21;7.651629447937012
22;117.88355350494385
23;5.401479721069336
24;3.964735984802246
25;27.22427773475647
26;55.125659465789795
27;145.65150475502014
28;5.6165454387664795
30;NO
29;NO
31;NO
32;NO
33;NO
34;289.09531021118164
35;4.665198802947998
36;4.000950813293457
37;NO
38;NO
39;NO
40;NO
